LARA ID_LARA
VON_CROY ID_VON_CROY
TROOPS ID_TROOPS
SAS ID_SAS
SWAT ID_SWAT
SWAT_PLUS ID_SWAT_PLUS
GUARD1 ID_GUARD1
GUARD_LASER ID_GUARD_LASER
LARSON ID_LARSON
PIERRE ID_PIERRE
MAFIA ID_MAFIA
MAFIA2 ID_MAFIA2
GUARD2 ID_GUARD2
GUARD3 ID_GUARD3
GLADIATOR ID_GLADIATOR
HITMAN ID_HITMAN
SNIPER ID_SNIPER
CHEF ID_CHEF
WINGED_MUMMY ID_WINGED_MUMMY
CENTAUR_MUTANT ID_CENTAUR_MUTANT
LARA_DOPPELGANGER ID_LARA_DOPPELGANGER
NATLA ID_NATLA
MUTANT ID_MUTANT
GIANT_MUTANT ID_GIANT_MUTANT
PROJ_NATLA ID_PROJ_NATLA
PROJ_SHARD ID_PROJ_SHARD
PROJ_BOMB ID_PROJ_BOMB
YETI ID_YETI
BIRDMONSTER ID_BIRDMONSTER
MARCO_BARTOLI ID_MARCO_BARTOLI
DRAGON_FRONT ID_DRAGON_FRONT
DRAGON_BACK ID_DRAGON_BACK
DRAGON_BONE_FRONT ID_DRAGON_BONE_FRONT
DRAGON_BONE_BACK ID_DRAGON_BONE_BACK
SPHERE_OF_DOOM ID_SPHERE_OF_DOOM
SPHERE_OF_DOOM2 ID_SPHERE_OF_DOOM2
SPHERE_OF_DOOM3 ID_SPHERE_OF_DOOM3
CIVVIE ID_CIVVIE
SPEAR_GUARDIAN ID_SPEAR_GUARDIAN
SPEAR_GUARDIAN_STATUE ID_SPEAR_GUARDIAN_STATUE
SWORD_GUARDIAN ID_SWORD_GUARDIAN
SWORD_GUARDIAN_STATUE ID_SWORD_GUARDIAN_STATUE
SHIVA ID_SHIVA
SHIVA_STATUE ID_SHIVA_STATUE
TRIBEBOSS ID_TRIBEBOSS
CIVVY ID_CIVVY
MUTANT2 ID_MUTANT2
LIZARD ID_LIZARD
TONY_BOSS ID_TONY_BOSS
TONY_BOSS_FLAME ID_TONY_BOSS_FLAME
PUNA_BOSS ID_PUNA_BOSS
SOPHIA_LEE_BOSS ID_SOPHIA_LEE_BOSS
LASER_BOLT ID_LASER_BOLT
SKELETON ID_SKELETON
MUMMY ID_MUMMY
ENEMY_JEEP ID_ENEMY_JEEP
HORSE ID_HORSE
HORSEMAN ID_HORSEMAN
DEMIGOD1 ID_DEMIGOD1
DEMIGOD2 ID_DEMIGOD2
DEMIGOD3 ID_DEMIGOD3
SETHA ID_SETHA
KNIGHT_TEMPLAR ID_KNIGHT_TEMPLAR
AHMET ID_AHMET
BIG_BEETLE ID_BIG_BEETLE
JEAN_YVES ID_JEAN_YVES
WRAITH1 ID_WRAITH1
WRAITH2 ID_WRAITH2
WRAITH3 ID_WRAITH3
WRAITH4 ID_WRAITH4
LARA_DOUBLE ID_LARA_DOUBLE
COMPY ID_COMPY
HYDRA ID_HYDRA
LASERHEAD ID_LASERHEAD
SCIENTIST ID_SCIENTIST
MERCENARY ID_MERCENARY
WILLOWISP ID_WILLOWISP
INVISIBLE_GHOST ID_INVISIBLE_GHOST
REAPER ID_REAPER
BROWN_BEAST ID_BROWN_BEAST
ATTACK_SUB ID_ATTACK_SUB
IMP ID_IMP
IMP_ROCK ID_IMP_ROCK
GUNSHIP ID_GUNSHIP
AUTOGUN ID_AUTOGUN
ROMAN_GOD1 ID_ROMAN_GOD1
ROMAN_GOD2 ID_ROMAN_GOD2
LAGOON_WITCH ID_LAGOON_WITCH
BOSS_SHIELD ID_BOSS_SHIELD
BOSS_EXPLOSION_SHOCKWAVE ID_BOSS_EXPLOSION_SHOCKWAVE
BOSS_EXPLOSION_RING ID_BOSS_EXPLOSION_RING
SPRINGBOARD ID_SPRINGBOARD
ROLLING_SPINDLE ID_ROLLING_SPINDLE
DISK_SHOOTER ID_DISK_SHOOTER
DISK ID_DISK
WALL_MOUNTED_BLADE ID_WALL_MOUNTED_BLADE
STATUE_WITH_BLADE ID_STATUE_WITH_BLADE
COG ID_COG
SPIKEBALL ID_SPIKEBALL
FLOOR_4BLADES ID_FLOOR_4BLADES
CEILING_4BLADES ID_CEILING_4BLADES
CATWALK_BLADE ID_CATWALK_BLADE
SETH_BLADE ID_SETH_BLADE
PLINTH_BLADE ID_PLINTH_BLADE
SLICER_DICER ID_SLICER_DICER
BIRD_BLADE ID_BIRD_BLADE
CHAIN ID_CHAIN
PLOUGH ID_PLOUGH
STARGATE ID_STARGATE
SPIKY_FLOOR ID_SPIKY_FLOOR
SPIKY_WALL ID_SPIKY_WALL
SPIKY_CEILING ID_SPIKY_CEILING
TEETH_SPIKES ID_TEETH_SPIKES
JOBY_SPIKES ID_JOBY_SPIKES
SENTRY_GUN ID_SENTRY_GUN
MAPPER ID_MAPPER
MOVING_BLADE ID_MOVING_BLADE
ELEMENT_PUZZLE ID_ELEMENT_PUZZLE
LIGHTING_CONDUCTOR ID_LIGHTING_CONDUCTOR
HAMMER ID_HAMMER
OBELISK ID_OBELISK
WHEEL_OF_FORTUNE ID_WHEEL_OF_FORTUNE
GAME_PIECE1 ID_GAME_PIECE1
GAME_PIECE2 ID_GAME_PIECE2
GAME_PIECE3 ID_GAME_PIECE3
RAISING_COG ID_RAISING_COG
MINE ID_MINE
SCALES ID_SCALES
ROME_HAMMER ID_ROME_HAMMER
FLAME ID_FLAME
FLAME_EMITTER ID_FLAME_EMITTER
FLAME_EMITTER2 ID_FLAME_EMITTER2
FLAME_EMITTER3 ID_FLAME_EMITTER3
BURNING_ROOTS ID_BURNING_ROOTS
ROPE ID_ROPE
FIREROPE ID_FIREROPE
POLEROPE ID_POLEROPE
ELECTRICAL_CABLES ID_ELECTRICAL_CABLES
BURNING_FLOOR ID_BURNING_FLOOR
DARTS ID_DARTS
DART_EMITTER ID_DART_EMITTER
HOMING_DART_EMITTER ID_HOMING_DART_EMITTER
FALLING_CEILING ID_FALLING_CEILING
FALLING_BLOCK ID_FALLING_BLOCK
FALLING_BLOCK2 ID_FALLING_BLOCK2
CRUMBLING_FLOOR ID_CRUMBLING_FLOOR
TRAPDOOR1 ID_TRAPDOOR1
TRAPDOOR2 ID_TRAPDOOR2
TRAPDOOR3 ID_TRAPDOOR3
FLOOR_TRAPDOOR1 ID_FLOOR_TRAPDOOR1
FLOOR_TRAPDOOR2 ID_FLOOR_TRAPDOOR2
CEILING_TRAPDOOR1 ID_CEILING_TRAPDOOR1
CEILING_TRAPDOOR2 ID_CEILING_TRAPDOOR2
SCALING_TRAPDOOR ID_SCALING_TRAPDOOR
ROLLINGBALL ID_ROLLINGBALL
ROLLINGBARREL ID_ROLLINGBARREL
PROPELLER_H ID_PROPELLER_H
PROPELLER_V ID_PROPELLER_V
ONEBLOCK_PLATFORM ID_ONEBLOCK_PLATFORM
TWOBLOCK_PLATFORM ID_TWOBLOCK_PLATFORM
RAISING_BLOCK1 ID_RAISING_BLOCK1
RAISING_BLOCK2 ID_RAISING_BLOCK2
RAISING_BLOCK3 ID_RAISING_BLOCK3
RAISING_BLOCK4 ID_RAISING_BLOCK4
PUSHABLE_OBJECT1 ID_PUSHABLE_OBJECT1
PUSHABLE_OBJECT2 ID_PUSHABLE_OBJECT2
PUSHABLE_OBJECT3 ID_PUSHABLE_OBJECT3
PUSHABLE_OBJECT4 ID_PUSHABLE_OBJECT4
PUSHABLE_OBJECT5 ID_PUSHABLE_OBJECT5
PUSHABLE_OBJECT6 ID_PUSHABLE_OBJECT6
PUSHABLE_OBJECT7 ID_PUSHABLE_OBJECT7
PUSHABLE_OBJECT8 ID_PUSHABLE_OBJECT8
PUSHABLE_OBJECT9 ID_PUSHABLE_OBJECT9
PUSHABLE_OBJECT10 ID_PUSHABLE_OBJECT10
WRECKING_BALL ID_WRECKING_BALL
ZIPLINE_HANDLE ID_ZIPLINE_HANDLE
TORPEDO ID_TORPEDO
CHAFF ID_CHAFF
ELECTRIC_FENCE ID_ELECTRIC_FENCE
LIFT ID_LIFT
TIGHT_ROPE ID_TIGHT_ROPE
PARALLEL_BARS ID_PARALLEL_BARS
XRAY_CONTROLLER ID_XRAY_CONTROLLER
PORTAL ID_PORTAL
GEN_SLOT1 ID_GEN_SLOT1
GEN_SLOT2 ID_GEN_SLOT2
GEN_SLOT3 ID_GEN_SLOT3
GEN_SLOT4 ID_GEN_SLOT4
SEARCH_OBJECT1 ID_SEARCH_OBJECT1
SEARCH_OBJECT2 ID_SEARCH_OBJECT2
SEARCH_OBJECT3 ID_SEARCH_OBJECT3
SEARCH_OBJECT4 ID_SEARCH_OBJECT4
SARCOPHAGUS ID_SARCOPHAGUS
ENEMY_PIECE ID_ENEMY_PIECE
EXPANDING_PLATFORM ID_EXPANDING_PLATFORM
SQUISHY_BLOCK1 ID_SQUISHY_BLOCK1
SQUISHY_BLOCK2 ID_SQUISHY_BLOCK2
TRIPWIRE ID_TRIPWIRE
MINE_DETECTOR ID_MINE_DETECTOR
MAP ID_MAP
SECRET_MAP ID_SECRET_MAP
SETH_DOOR ID_SETH_DOOR
HORUS_STATUE ID_HORUS_STATUE
STATUE_PLINTH ID_STATUE_PLINTH
CLASSIC_ROLLING_BALL ID_CLASSIC_ROLLING_BALL
BIG_ROLLING_BALL ID_BIG_ROLLING_BALL
PUSHABLE_OBJECT_CLIMBABLE1 ID_PUSHABLE_OBJECT_CLIMBABLE1
PUSHABLE_OBJECT_CLIMBABLE2 ID_PUSHABLE_OBJECT_CLIMBABLE2
PUSHABLE_OBJECT_CLIMBABLE3 ID_PUSHABLE_OBJECT_CLIMBABLE3
PUSHABLE_OBJECT_CLIMBABLE4 ID_PUSHABLE_OBJECT_CLIMBABLE4
PUSHABLE_OBJECT_CLIMBABLE5 ID_PUSHABLE_OBJECT_CLIMBABLE5
PUSHABLE_OBJECT_CLIMBABLE6 ID_PUSHABLE_OBJECT_CLIMBABLE6
PUSHABLE_OBJECT_CLIMBABLE7 ID_PUSHABLE_OBJECT_CLIMBABLE7
PUSHABLE_OBJECT_CLIMBABLE8 ID_PUSHABLE_OBJECT_CLIMBABLE8
PUSHABLE_OBJECT_CLIMBABLE9 ID_PUSHABLE_OBJECT_CLIMBABLE9
PUSHABLE_OBJECT_CLIMBABLE10 ID_PUSHABLE_OBJECT_CLIMBABLE10
TRAIN ID_TRAIN
EXPLOSION ID_EXPLOSION
PUZZLE_ITEM1 ID_PUZZLE_ITEM1
PUZZLE_ITEM2 ID_PUZZLE_ITEM2
PUZZLE_ITEM3 ID_PUZZLE_ITEM3
PUZZLE_ITEM4 ID_PUZZLE_ITEM4
PUZZLE_ITEM5 ID_PUZZLE_ITEM5
PUZZLE_ITEM6 ID_PUZZLE_ITEM6
PUZZLE_ITEM7 ID_PUZZLE_ITEM7
PUZZLE_ITEM8 ID_PUZZLE_ITEM8
PUZZLE_ITEM9 ID_PUZZLE_ITEM9
PUZZLE_ITEM10 ID_PUZZLE_ITEM10
PUZZLE_ITEM11 ID_PUZZLE_ITEM11
PUZZLE_ITEM12 ID_PUZZLE_ITEM12
PUZZLE_ITEM13 ID_PUZZLE_ITEM13
PUZZLE_ITEM14 ID_PUZZLE_ITEM14
PUZZLE_ITEM15 ID_PUZZLE_ITEM15
PUZZLE_ITEM16 ID_PUZZLE_ITEM16
PUZZLE_ITEM1_COMBO1 ID_PUZZLE_ITEM1_COMBO1
PUZZLE_ITEM1_COMBO2 ID_PUZZLE_ITEM1_COMBO2
PUZZLE_ITEM2_COMBO1 ID_PUZZLE_ITEM2_COMBO1
PUZZLE_ITEM2_COMBO2 ID_PUZZLE_ITEM2_COMBO2
PUZZLE_ITEM3_COMBO1 ID_PUZZLE_ITEM3_COMBO1
PUZZLE_ITEM3_COMBO2 ID_PUZZLE_ITEM3_COMBO2
PUZZLE_ITEM4_COMBO1 ID_PUZZLE_ITEM4_COMBO1
PUZZLE_ITEM4_COMBO2 ID_PUZZLE_ITEM4_COMBO2
PUZZLE_ITEM5_COMBO1 ID_PUZZLE_ITEM5_COMBO1
PUZZLE_ITEM5_COMBO2 ID_PUZZLE_ITEM5_COMBO2
PUZZLE_ITEM6_COMBO1 ID_PUZZLE_ITEM6_COMBO1
PUZZLE_ITEM6_COMBO2 ID_PUZZLE_ITEM6_COMBO2
PUZZLE_ITEM7_COMBO1 ID_PUZZLE_ITEM7_COMBO1
PUZZLE_ITEM7_COMBO2 ID_PUZZLE_ITEM7_COMBO2
PUZZLE_ITEM8_COMBO1 ID_PUZZLE_ITEM8_COMBO1
PUZZLE_ITEM8_COMBO2 ID_PUZZLE_ITEM8_COMBO2
PUZZLE_ITEM9_COMBO1 ID_PUZZLE_ITEM9_COMBO1
PUZZLE_ITEM9_COMBO2 ID_PUZZLE_ITEM9_COMBO2
PUZZLE_ITEM10_COMBO1 ID_PUZZLE_ITEM10_COMBO1
PUZZLE_ITEM10_COMBO2 ID_PUZZLE_ITEM10_COMBO2
PUZZLE_ITEM11_COMBO1 ID_PUZZLE_ITEM11_COMBO1
PUZZLE_ITEM11_COMBO2 ID_PUZZLE_ITEM11_COMBO2
PUZZLE_ITEM12_COMBO1 ID_PUZZLE_ITEM12_COMBO1
PUZZLE_ITEM12_COMBO2 ID_PUZZLE_ITEM12_COMBO2
PUZZLE_ITEM13_COMBO1 ID_PUZZLE_ITEM13_COMBO1
PUZZLE_ITEM13_COMBO2 ID_PUZZLE_ITEM13_COMBO2
PUZZLE_ITEM14_COMBO1 ID_PUZZLE_ITEM14_COMBO1
PUZZLE_ITEM14_COMBO2 ID_PUZZLE_ITEM14_COMBO2
PUZZLE_ITEM15_COMBO1 ID_PUZZLE_ITEM15_COMBO1
PUZZLE_ITEM15_COMBO2 ID_PUZZLE_ITEM15_COMBO2
PUZZLE_ITEM16_COMBO1 ID_PUZZLE_ITEM16_COMBO1
PUZZLE_ITEM16_COMBO2 ID_PUZZLE_ITEM16_COMBO2
KEY_ITEM1 ID_KEY_ITEM1
KEY_ITEM2 ID_KEY_ITEM2
KEY_ITEM3 ID_KEY_ITEM3
KEY_ITEM4 ID_KEY_ITEM4
KEY_ITEM5 ID_KEY_ITEM5
KEY_ITEM6 ID_KEY_ITEM6
KEY_ITEM7 ID_KEY_ITEM7
KEY_ITEM8 ID_KEY_ITEM8
KEY_ITEM9 ID_KEY_ITEM9
KEY_ITEM10 ID_KEY_ITEM10
KEY_ITEM11 ID_KEY_ITEM11
KEY_ITEM12 ID_KEY_ITEM12
KEY_ITEM13 ID_KEY_ITEM13
KEY_ITEM14 ID_KEY_ITEM14
KEY_ITEM15 ID_KEY_ITEM15
KEY_ITEM16 ID_KEY_ITEM16
KEY_ITEM1_COMBO1 ID_KEY_ITEM1_COMBO1
KEY_ITEM1_COMBO2 ID_KEY_ITEM1_COMBO2
KEY_ITEM2_COMBO1 ID_KEY_ITEM2_COMBO1
KEY_ITEM2_COMBO2 ID_KEY_ITEM2_COMBO2
KEY_ITEM3_COMBO1 ID_KEY_ITEM3_COMBO1
KEY_ITEM3_COMBO2 ID_KEY_ITEM3_COMBO2
KEY_ITEM4_COMBO1 ID_KEY_ITEM4_COMBO1
KEY_ITEM4_COMBO2 ID_KEY_ITEM4_COMBO2
KEY_ITEM5_COMBO1 ID_KEY_ITEM5_COMBO1
KEY_ITEM5_COMBO2 ID_KEY_ITEM5_COMBO2
KEY_ITEM6_COMBO1 ID_KEY_ITEM6_COMBO1
KEY_ITEM6_COMBO2 ID_KEY_ITEM6_COMBO2
KEY_ITEM7_COMBO1 ID_KEY_ITEM7_COMBO1
KEY_ITEM7_COMBO2 ID_KEY_ITEM7_COMBO2
KEY_ITEM8_COMBO1 ID_KEY_ITEM8_COMBO1
KEY_ITEM8_COMBO2 ID_KEY_ITEM8_COMBO2
KEY_ITEM9_COMBO1 ID_KEY_ITEM9_COMBO1
KEY_ITEM9_COMBO2 ID_KEY_ITEM9_COMBO2
KEY_ITEM10_COMBO1 ID_KEY_ITEM10_COMBO1
KEY_ITEM10_COMBO2 ID_KEY_ITEM10_COMBO2
KEY_ITEM11_COMBO1 ID_KEY_ITEM11_COMBO1
KEY_ITEM11_COMBO2 ID_KEY_ITEM11_COMBO2
KEY_ITEM12_COMBO1 ID_KEY_ITEM12_COMBO1
KEY_ITEM12_COMBO2 ID_KEY_ITEM12_COMBO2
KEY_ITEM13_COMBO1 ID_KEY_ITEM13_COMBO1
KEY_ITEM13_COMBO2 ID_KEY_ITEM13_COMBO2
KEY_ITEM14_COMBO1 ID_KEY_ITEM14_COMBO1
KEY_ITEM14_COMBO2 ID_KEY_ITEM14_COMBO2
KEY_ITEM15_COMBO1 ID_KEY_ITEM15_COMBO1
KEY_ITEM15_COMBO2 ID_KEY_ITEM15_COMBO2
KEY_ITEM16_COMBO1 ID_KEY_ITEM16_COMBO1
KEY_ITEM16_COMBO2 ID_KEY_ITEM16_COMBO2
PICKUP_ITEM1 ID_PICKUP_ITEM1
PICKUP_ITEM2 ID_PICKUP_ITEM2
PICKUP_ITEM3 ID_PICKUP_ITEM3
PICKUP_ITEM4 ID_PICKUP_ITEM4
PICKUP_ITEM5 ID_PICKUP_ITEM5
PICKUP_ITEM6 ID_PICKUP_ITEM6
PICKUP_ITEM7 ID_PICKUP_ITEM7
PICKUP_ITEM8 ID_PICKUP_ITEM8
PICKUP_ITEM9 ID_PICKUP_ITEM9
PICKUP_ITEM10 ID_PICKUP_ITEM10
PICKUP_ITEM11 ID_PICKUP_ITEM11
PICKUP_ITEM12 ID_PICKUP_ITEM12
PICKUP_ITEM13 ID_PICKUP_ITEM13
PICKUP_ITEM14 ID_PICKUP_ITEM14
PICKUP_ITEM15 ID_PICKUP_ITEM15
PICKUP_ITEM16 ID_PICKUP_ITEM16
PICKUP_ITEM1_COMBO1 ID_PICKUP_ITEM1_COMBO1
PICKUP_ITEM1_COMBO2 ID_PICKUP_ITEM1_COMBO2
PICKUP_ITEM2_COMBO1 ID_PICKUP_ITEM2_COMBO1
PICKUP_ITEM2_COMBO2 ID_PICKUP_ITEM2_COMBO2
PICKUP_ITEM3_COMBO1 ID_PICKUP_ITEM3_COMBO1
PICKUP_ITEM3_COMBO2 ID_PICKUP_ITEM3_COMBO2
PICKUP_ITEM4_COMBO1 ID_PICKUP_ITEM4_COMBO1
PICKUP_ITEM4_COMBO2 ID_PICKUP_ITEM4_COMBO2
PICKUP_ITEM5_COMBO1 ID_PICKUP_ITEM5_COMBO1
PICKUP_ITEM5_COMBO2 ID_PICKUP_ITEM5_COMBO2
PICKUP_ITEM6_COMBO1 ID_PICKUP_ITEM6_COMBO1
PICKUP_ITEM6_COMBO2 ID_PICKUP_ITEM6_COMBO2
PICKUP_ITEM7_COMBO1 ID_PICKUP_ITEM7_COMBO1
PICKUP_ITEM7_COMBO2 ID_PICKUP_ITEM7_COMBO2
PICKUP_ITEM8_COMBO1 ID_PICKUP_ITEM8_COMBO1
PICKUP_ITEM8_COMBO2 ID_PICKUP_ITEM8_COMBO2
PICKUP_ITEM9_COMBO1 ID_PICKUP_ITEM9_COMBO1
PICKUP_ITEM9_COMBO2 ID_PICKUP_ITEM9_COMBO2
PICKUP_ITEM10_COMBO1 ID_PICKUP_ITEM10_COMBO1
PICKUP_ITEM10_COMBO2 ID_PICKUP_ITEM10_COMBO2
PICKUP_ITEM11_COMBO1 ID_PICKUP_ITEM11_COMBO1
PICKUP_ITEM11_COMBO2 ID_PICKUP_ITEM11_COMBO2
PICKUP_ITEM12_COMBO1 ID_PICKUP_ITEM12_COMBO1
PICKUP_ITEM12_COMBO2 ID_PICKUP_ITEM12_COMBO2
PICKUP_ITEM13_COMBO1 ID_PICKUP_ITEM13_COMBO1
PICKUP_ITEM13_COMBO2 ID_PICKUP_ITEM13_COMBO2
PICKUP_ITEM14_COMBO1 ID_PICKUP_ITEM14_COMBO1
PICKUP_ITEM14_COMBO2 ID_PICKUP_ITEM14_COMBO2
PICKUP_ITEM15_COMBO1 ID_PICKUP_ITEM15_COMBO1
PICKUP_ITEM15_COMBO2 ID_PICKUP_ITEM15_COMBO2
PICKUP_ITEM16_COMBO1 ID_PICKUP_ITEM16_COMBO1
PICKUP_ITEM16_COMBO2 ID_PICKUP_ITEM16_COMBO2
EXAMINE1 ID_EXAMINE1
EXAMINE2 ID_EXAMINE2
EXAMINE3 ID_EXAMINE3
EXAMINE4 ID_EXAMINE4
EXAMINE5 ID_EXAMINE5
EXAMINE6 ID_EXAMINE6
EXAMINE7 ID_EXAMINE7
EXAMINE8 ID_EXAMINE8
EXAMINE1_COMBO1 ID_EXAMINE1_COMBO1
EXAMINE1_COMBO2 ID_EXAMINE1_COMBO2
EXAMINE2_COMBO1 ID_EXAMINE2_COMBO1
EXAMINE2_COMBO2 ID_EXAMINE2_COMBO2
EXAMINE3_COMBO1 ID_EXAMINE3_COMBO1
EXAMINE3_COMBO2 ID_EXAMINE3_COMBO2
EXAMINE4_COMBO1 ID_EXAMINE4_COMBO1
EXAMINE4_COMBO2 ID_EXAMINE4_COMBO2
EXAMINE5_COMBO1 ID_EXAMINE5_COMBO1
EXAMINE5_COMBO2 ID_EXAMINE5_COMBO2
EXAMINE6_COMBO1 ID_EXAMINE6_COMBO1
EXAMINE6_COMBO2 ID_EXAMINE6_COMBO2
EXAMINE7_COMBO1 ID_EXAMINE7_COMBO1
EXAMINE7_COMBO2 ID_EXAMINE7_COMBO2
